Date,SPX_return,SPX_volatility_20d,SPX_drawdown,SPX_MA_signal,Mom
1999-12-31,,,0.0,,
2000-01-03,-0.009594974568009586,,-0.009549089671601174,,-0.0006
2000-01-04,-0.039099226875721496,,-0.04752765016164706,,-0.0191
2000-01-05,0.0019203798115278359,,-0.04569678407350697,,-0.0049
2000-01-06,0.0009552460841297421,,-0.04478475412625482,,-0.0149
2000-01-07,0.02672993526267859,,-0.018907605921388404,,0.0059
2000-01-10,0.011127821298329016,,-0.007929215586183536,,0.020099999999999996
2000-01-11,-0.013148634269231135,,-0.02088820826952531,,-0.011699999999999999
2000-01-12,-0.004395978947775581,,-0.02518291645397308,,-0.0063
2000-01-13,0.012096208115215201,,-0.01331972094606082,,0.0022
2000-01-14,0.010614783884359819,,-0.0027905393908456144,,0.011899999999999999
2000-01-18,-0.0068555103802383595,,-0.009603539220690793,,0.0138
2000-01-19,0.0005221501712565401,,-0.009086268504338912,,0.0085
2000-01-20,-0.007120558645266682,,-0.01611706653054279,,0.0176
2000-01-21,-0.002916595126568967,,-0.018982474051386866,,0.013500000000000002
2000-01-24,-0.028022615294881394,,-0.04609154330440701,,-0.0126
2000-01-25,0.006046483729051793,,-0.04030627871362946,,0.0127
2000-01-26,-0.004221574646237659,,-0.044349157733537536,,-0.009399999999999999
2000-01-27,-0.003946270263199617,,-0.04811298281436116,,-0.0067
2000-01-28,-0.027840795963128967,,-0.07424876637740341,,-0.0161
2000-01-31,0.024904903670926997,0.016440520660186836,-0.050903522205206664,,-0.0031
2000-02-01,0.010571692114229847,0.016607300994255832,-0.0408167432363451,,0.0126
2000-02-02,-0.0001135395970565019,0.01406858114863312,-0.04092564233452445,,0.0079
2000-02-03,0.011185364792412934,0.014274207965228627,-0.03013782542113319,,0.0095
2000-02-04,-0.0004211501673149076,0.014276781621230574,-0.030546197039305834,,0.0104
2000-02-07,-9.127258564011562e-05,0.012900302705637681,-0.03063467755657645,,0.009000000000000001
2000-02-08,0.0121985071366468,0.01295364965500194,-0.018737451080483192,,0.0161
2000-02-09,-0.02104219334309998,0.01346783444859451,-0.039169644376382484,,0.003
2000-02-10,0.003627329831989955,0.01347903879117746,-0.0356780670410074,,0.026099999999999998
2000-02-11,-0.021192326485726515,0.013885550403422856,-0.05589926833418413,,-0.0024
2000-02-14,0.002030925489038545,0.013598108314830822,-0.053979921728773195,,0.0098
2000-02-15,0.008674870571246085,0.0137865279102573,-0.04573762123532421,,-0.0043
2000-02-16,-0.010309369658861213,0.013900370894294935,-0.05552492768419259,,0.0055000000000000005
2000-02-17,0.00042508277145605693,0.013867863499069339,-0.055123362259656306,,0.011000000000000001
2000-02-18,-0.030847070655427272,0.015295473898767311,-0.08382508082354945,,-0.0027
2000-02-22,0.004506615589443625,0.014234240938645856,-0.07968691509273429,,-0.004699999999999999
2000-02-23,0.0062812146679728995,0.01424113985588407,-0.07388803811468436,,0.022799999999999997
2000-02-24,-0.005349813063087968,0.014253545645510913,-0.07882933469457198,,0.0175
2000-02-25,-0.01494003871427774,0.01454810014917042,-0.09248936532244345,,0.0051
2000-02-28,0.010957031538571586,0.013526202924252217,-0.0824910668708525,,0.0032
2000-02-29,0.013535077157035507,0.012612686345532434,-0.06998808916113664,,0.0192
2000-03-01,0.009302189373569263,0.012554361796901623,-0.061296579887697766,,0.0097
2000-03-02,0.001861678583291025,0.012570116843096666,-0.05954738812319216,,0.0128
2000-03-03,0.01964282967966254,0.013130686624177566,-0.04089161136634334,,0.018799999999999997
2000-03-06,-0.012776691866463252,0.013411583616074996,-0.05306789178152116,,0.011000000000000001
2000-03-07,-0.025965272460888884,0.014504875483082883,-0.07733877828824243,,0.0091
2000-03-08,0.008140160732056598,0.014316041965666021,-0.0697975157393228,,-0.0058
2000-03-09,0.02527957647861595,0.014921836826679663,-0.04598264420622766,,0.008
2000-03-10,-0.004734058241369802,0.014921498535642471,-0.050488344393398,,0.0045000000000000005
2000-03-13,-0.008241340204649962,0.014254887585213316,-0.05828143610685732,,-0.0167
2000-03-14,-0.01784374866717164,0.014779676682012617,-0.0749361919346605,,-0.0222
2000-03-15,0.023989810373332258,0.01568300350626953,-0.05247575293517093,,-0.0526
2000-03-16,0.04653862630889853,0.018653960424232587,-0.007337076739833193,,-0.0241
2000-03-17,0.004105461232460199,0.01865069091483199,-0.003253360558107876,,0.0176
2000-03-20,-0.005367853770868713,0.017041378565694865,-0.008589416368895653,,-0.0137
2000-03-21,0.02524451970119114,0.017695627896602856,0.0,,-0.0076
2000-03-22,0.004521615579435624,0.017693207555500693,0.0,,0.028399999999999998
2000-03-23,0.017642523790550653,0.017739420303268666,0.0,,0.006
2000-03-24,7.201757231894197e-05,0.017111249090633694,0.0,,-0.0006
2000-03-27,-0.0023596356136780785,0.017199641610627158,-0.0023568538619670454,,0.009899999999999999
2000-03-28,-0.010641381065242726,0.017498743567853987,-0.012916868526835379,,-0.0139
2000-03-29,0.000523829270162905,0.017493147434354688,-0.012399670040459387,,-0.0281
2000-03-30,-0.013749866207868553,0.01795833091132828,-0.025886111583936722,,-0.0338
2000-03-31,0.00713882154487963,0.017587962255156686,-0.01890720542600144,,0.014499999999999999
2000-04-03,0.00491921579095064,0.017189086750969824,-0.01406910819268592,,-0.0495
2000-04-04,-0.007491620335109972,0.015947874288243315,-0.021427729695049358,,-0.0202
2000-04-05,-0.004936128864951875,0.01607490820167937,-0.026246186479515154,,0.009899999999999999
