Date,PX_LAST
2007-11-13,9.16
2007-11-14,9.1433
2007-11-15,9.0267
2007-11-16,9.1133
2007-11-19,8.9867
2007-11-20,8.8567
2007-11-21,8.7933
2007-11-23,8.8333
2007-11-26,8.73
2007-11-27,8.89
2007-11-28,9.22
2007-11-29,9.16
2007-11-30,9.15
2007-12-03,9.0867
2007-12-04,9.0833
2007-12-05,9.1934
2007-12-06,9.2933
2007-12-07,9.29
2007-12-10,9.32
2007-12-11,9.1567
2007-12-12,9.2433
2007-12-13,9.22
2007-12-14,9.1167
2007-12-17,8.9567
2007-12-18,8.9467
2007-12-19,8.98
2007-12-20,9.0833
2007-12-21,9.2267
2007-12-24,9.2967
2007-12-26,9.3
2007-12-27,9.1633
2007-12-28,9.1533
2007-12-31,9.0767
2008-01-02,8.8433
2008-01-03,8.77
2008-01-04,8.4033
2008-01-07,8.3133
2008-01-08,8.13
2008-01-09,8.1567
2008-01-10,8.1867
2008-01-11,8.0367
2008-01-14,8.15
2008-01-15,7.96
2008-01-16,7.8867
2008-01-17,7.6934
2008-01-18,7.7667
2008-01-22,7.6833
2008-01-23,7.7333
2008-01-24,7.93
2008-01-25,7.7667
2008-01-28,7.87
2008-01-29,7.9333
2008-01-30,7.8767
2008-01-31,7.8833
2008-02-01,8.1667
2008-02-04,8.1033
2008-02-05,7.8767
2008-02-06,7.7067
2008-02-07,7.76
2008-02-08,7.8533
2008-02-11,7.9033
2008-02-12,7.8566
2008-02-13,8.06
2008-02-14,7.89
2008-02-15,7.8367
2008-02-19,7.7867
2008-02-20,7.9267
2008-02-21,7.88
2008-02-22,7.8833
2008-02-25,7.9767
2008-02-26,8.1033
2008-02-27,8.1167
2008-02-28,7.98
2008-02-29,7.83
2008-03-03,7.7367
2008-03-04,7.7567
2008-03-05,7.8
2008-03-06,7.6667
2008-03-07,7.66
2008-03-10,7.5993
2008-03-11,7.7333
2008-03-12,7.73
2008-03-13,7.78
2008-03-14,7.6733
2008-03-17,7.59
2008-03-18,7.8167
2008-03-19,7.64
2008-03-20,7.72
2008-03-24,7.9533
2008-03-25,7.9633
2008-03-26,7.91
2008-03-27,7.77
2008-03-28,7.7012
2008-03-31,7.79
2008-04-01,8.04
2008-04-02,8.0667
2008-04-03,8.1233
2008-04-04,8.0768
2008-04-07,8.02
2008-04-08,7.9767
2008-04-09,7.8867
2008-04-10,7.9867
2008-04-11,7.7933
2008-04-14,7.78
2008-04-15,7.7633
2008-04-16,8.02
2008-04-17,8.03
2008-04-18,8.2167
2008-04-21,8.2433
2008-04-22,8.0533
2008-04-23,8.1767
2008-04-24,8.2967
2008-04-25,8.3
2008-04-28,8.3467
2008-04-29,8.339
2008-04-30,8.2573
2008-05-01,8.52
2008-05-02,8.4983
2008-05-05,8.46
2008-05-06,8.5667
2008-05-07,8.4267
2008-05-08,8.4867
2008-05-09,8.4643
2008-05-12,8.5817
2008-05-13,8.6467
2008-05-14,8.6767
2008-05-15,8.8
2008-05-16,8.8433
2008-05-19,8.7933
2008-05-20,8.6967
2008-05-21,8.58
2008-05-22,8.6067
2008-05-23,8.59
2008-05-27,8.7433
2008-05-28,8.8167
2008-05-29,8.8747
2008-05-30,8.9167
2008-06-02,8.6917
2008-06-03,8.7567
2008-06-04,8.8167
2008-06-05,8.972
2008-06-06,8.74
2008-06-09,8.72
2008-06-10,8.6733
2008-06-11,8.5033
2008-06-12,8.52
2008-06-13,8.6867
2008-06-16,8.7899
2008-06-17,8.7633
2008-06-18,8.67
2008-06-19,8.7867
2008-06-20,8.5775
2008-06-23,8.5733
2008-06-24,8.4392
2008-06-25,8.5467
2008-06-26,8.28
2008-06-27,8.19
2008-06-30,8.111
2008-07-01,8.119
2008-07-02,7.9667
2008-07-03,7.91
2008-07-07,7.94
2008-07-08,8.0133
2008-07-09,7.9166
2008-07-10,7.8933
2008-07-11,7.8833
2008-07-14,7.8333
2008-07-15,7.8667
2008-07-16,8.06
2008-07-17,8.1907
2008-07-18,8.1893
2008-07-21,8.15
2008-07-22,8.1435
2008-07-23,8.2207
2008-07-24,8.1093
2008-07-25,8.1247
2008-07-28,8.0083
2008-07-29,8.1333
2008-07-30,8.052
2008-07-31,8.0333
2008-08-01,8.02
2008-08-04,7.9733
2008-08-05,8.1467
2008-08-06,8.23
2008-08-07,8.2
2008-08-08,8.3808
2008-08-11,8.4933
2008-08-12,8.4321
2008-08-13,8.4833
2008-08-14,8.54
2008-08-15,8.523
2008-08-18,8.41
2008-08-19,8.31
2008-08-20,8.33
2008-08-21,8.2833
2008-08-22,8.3767
2008-08-25,8.235
2008-08-26,8.15
2008-08-27,8.2933
2008-08-28,8.41
2008-08-29,8.29
2008-09-02,8.2367
2008-09-03,8.12
2008-09-04,7.8608
2008-09-05,7.83
2008-09-08,7.8434
2008-09-09,7.6633
2008-09-10,7.7633
2008-09-11,7.7167
2008-09-12,7.74
2008-09-15,7.46
2008-09-16,7.4904
2008-09-17,7.2433
2008-09-18,7.3932
2008-09-19,7.6933
2008-09-22,7.4233
2008-09-23,7.3467
2008-09-24,7.3
2008-09-25,7.39
2008-09-26,7.4233
2008-09-29,6.9767
2008-09-30,7.1543
2008-10-01,7.0733
2008-10-02,6.8067
2008-10-03,6.6851
2008-10-06,6.4697
2008-10-07,6.0733
2008-10-08,6.09
2008-10-09,5.7467
2008-10-10,5.6967
2008-10-13,6.1381
2008-10-14,6.096
2008-10-15,5.5667
2008-10-16,5.66
2008-10-17,5.7033
2008-10-20,5.8566
2008-10-21,5.68
2008-10-22,5.3867
2008-10-23,5.1567
2008-10-24,5.1802
2008-10-27,5.1796
2008-10-28,5.3807
2008-10-29,5.5267
2008-10-30,5.4566
2008-10-31,5.6233
2008-11-03,5.6167
2008-11-04,5.7367
2008-11-05,5.5114
2008-11-06,5.2833
2008-11-07,5.39
2008-11-10,5.25
2008-11-11,5.1518
2008-11-12,4.9233
2008-11-13,5.118
2008-11-14,5.1367
2008-11-17,4.9388
2008-11-18,4.7423
2008-11-19,4.6367
2008-11-20,4.4051
2008-11-21,4.5267
2008-11-24,4.84
2008-11-25,4.7843
2008-11-26,5.0317
2008-11-28,5.0667
2008-12-01,4.6633
2008-12-02,4.714
2008-12-03,4.9372
2008-12-04,4.6867
2008-12-05,4.9083
2008-12-08,5.12
2008-12-09,5.0699
2008-12-10,5.1167
2008-12-11,4.92
2008-12-12,5.0923
2008-12-15,4.9867
2008-12-16,5.25
2008-12-17,5.2874
2008-12-18,5.13
2008-12-19,5.2223
2008-12-22,5.0933
2008-12-23,5.0769
