Date,PX_LAST
1999-12-31,57.8
2000-01-31,56.7
2000-02-29,55.8
2000-03-31,54.9
2000-04-30,54.7
2000-05-31,53.2
2000-06-30,51.4
2000-07-31,52.5
2000-08-31,49.9
2000-09-30,49.7
2000-10-31,48.7
2000-11-30,48.5
2000-12-31,43.9
2001-01-31,42.3
2001-02-28,42.1
2001-03-31,43.1
2001-04-30,42.7
2001-05-31,41.3
2001-06-30,43.2
2001-07-31,43.5
2001-08-31,46.3
2001-09-30,46.2
2001-10-31,40.8
2001-11-30,44.1
2001-12-31,45.3
2002-01-31,47.5
2002-02-28,50.7
2002-03-31,52.4
2002-04-30,52.4
2002-05-31,53.1
2002-06-30,53.6
2002-07-31,50.2
2002-08-31,50.3
2002-09-30,50.5
2002-10-31,49.0
2002-11-30,48.5
2002-12-31,51.6
2003-01-31,51.3
2003-02-28,48.8
2003-03-31,46.3
2003-04-30,46.1
2003-05-31,49.0
2003-06-30,49.0
2003-07-31,51.0
2003-08-31,53.2
2003-09-30,52.4
2003-10-31,55.2
2003-11-30,58.4
2003-12-31,60.1
2004-01-31,60.8
2004-02-29,59.9
2004-03-31,60.6
2004-04-30,60.6
2004-05-31,61.4
2004-06-30,60.5
2004-07-31,59.9
2004-08-31,58.5
2004-09-30,57.4
2004-10-31,56.3
2004-11-30,56.2
2004-12-31,57.2
2005-01-31,56.8
2005-02-28,55.5
2005-03-31,55.2
2005-04-30,52.2
2005-05-31,50.8
2005-06-30,52.4
2005-07-31,52.8
2005-08-31,52.4
2005-09-30,56.8
2005-10-31,57.2
2005-11-30,56.7
2005-12-31,55.1
2006-01-31,55.0
2006-02-28,55.8
2006-03-31,54.3
2006-04-30,55.2
2006-05-31,53.7
2006-06-30,52.0
2006-07-31,53.0
2006-08-31,53.7
2006-09-30,52.2
2006-10-31,51.4
2006-11-30,50.3
2006-12-31,51.4
2007-01-31,50.4
2007-02-28,54.1
2007-03-31,52.8
2007-04-30,52.7
2007-05-31,53.1
2007-06-30,54.0
2007-07-31,51.8
2007-08-31,52.2
2007-09-30,53.8
2007-10-31,52.8
2007-11-30,51.5
2007-12-31,50.1
2008-01-31,50.9
2008-02-29,48.8
2008-03-31,49.7
2008-04-30,48.5
2008-05-31,48.9
2008-06-30,49.9
2008-07-31,50.8
2008-08-31,50.1
2008-09-30,47.2
2008-10-31,38.2
2008-11-30,39.0
2008-12-31,34.5
2009-01-31,36.4
2009-02-28,36.6
2009-03-31,37.2
2009-04-30,39.9
2009-05-31,44.1
2009-06-30,46.3
2009-07-31,49.7
2009-08-31,53.4
2009-09-30,54.9
2009-10-31,57.6
2009-11-30,55.4
2009-12-31,55.8
2010-01-31,56.3
2010-02-28,55.5
2010-03-31,58.8
2010-04-30,58.1
2010-05-31,57.4
2010-06-30,56.5
2010-07-31,56.1
2010-08-31,56.4
2010-09-30,55.3
2010-10-31,56.9
2010-11-30,57.3
