,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
12/3/2001,1.68,7.9
12/4/2001,1.69,7.87
12/5/2001,1.58,7.63
12/6/2001,1.54,7.46
12/7/2001,1.54,7.36
12/10/2001,1.56,7.42
12/11/2001,1.58,7.49
12/12/2001,1.6,7.6
12/13/2001,1.53,7.51
12/14/2001,1.5,7.43
12/17/2001,1.47,7.25
12/18/2001,1.53,7.38
12/19/2001,1.57,7.47
12/20/2001,1.55,7.39
12/21/2001,1.55,7.31
12/24/2001,1.52,7.29
12/26/2001,1.5,7.24
12/27/2001,1.53,7.33
12/28/2001,1.51,7.22
12/31/2001,1.53,7.28
1/2/2002,1.45,7.16
1/3/2002,1.44,7.18
1/4/2002,1.41,7.13
1/7/2002,1.46,7.2
1/8/2002,1.47,7.18
1/9/2002,1.47,7.16
1/10/2002,1.52,7.26
1/11/2002,1.54,7.34
1/14/2002,1.52,7.32
1/15/2002,1.54,7.35
1/16/2002,1.53,7.35
1/17/2002,1.5,7.26
1/18/2002,1.48,7.22
1/22/2002,1.47,7.18
1/23/2002,1.42,7.13
1/24/2002,1.42,7.08
1/25/2002,1.42,7.05
1/28/2002,1.45,7.06
1/29/2002,1.52,7.05
1/30/2002,1.54,7.09
1/31/2002,1.51,7.01
2/1/2002,1.55,6.99
2/4/2002,1.57,7.05
2/5/2002,1.55,7.07
2/6/2002,1.55,7.06
2/7/2002,1.51,7.09
2/8/2002,1.51,7.12
2/11/2002,1.5,7.11
2/12/2002,1.46,7.04
2/13/2002,1.44,7.01
2/14/2002,1.47,7.04
2/15/2002,1.5,7.13
2/19/2002,1.49,7.18
2/20/2002,1.47,7.23
2/21/2002,1.48,7.24
2/22/2002,1.49,7.31
2/25/2002,1.45,7.33
2/26/2002,1.41,7.26
2/27/2002,1.45,7.35
2/28/2002,1.41,7.31
3/1/2002,1.38,7.22
3/4/2002,1.39,7.19
3/5/2002,1.37,7.15
3/6/2002,1.34,7.09
3/7/2002,1.27,6.86
3/8/2002,1.26,6.77
3/11/2002,1.24,6.69
3/12/2002,1.25,6.68
3/13/2002,1.28,6.73
3/14/2002,1.22,6.55
3/15/2002,1.31,6.54
3/18/2002,1.31,6.58
3/19/2002,1.32,6.51
3/20/2002,1.31,6.43
3/21/2002,1.34,6.42
3/22/2002,1.35,6.42
3/25/2002,1.35,6.41
3/26/2002,1.38,6.47
3/27/2002,1.38,6.48
3/28/2002,1.31,6.27
3/29/2002,1.31,6.27
4/1/2002,1.31,6.27
4/2/2002,1.34,6.37
4/3/2002,1.37,6.44
4/4/2002,1.32,6.44
4/5/2002,1.35,6.51
4/8/2002,1.33,6.52
4/9/2002,1.33,6.56
4/10/2002,1.31,6.54
4/11/2002,1.33,6.54
4/12/2002,1.37,6.58
4/15/2002,1.36,6.56
4/16/2002,1.35,6.45
4/17/2002,1.32,6.4
4/18/2002,1.33,6.39
4/19/2002,1.33,6.37
4/22/2002,1.34,6.39
4/23/2002,1.32,6.39
4/24/2002,1.35,6.39
4/25/2002,1.37,6.37
4/26/2002,1.39,6.36
4/29/2002,1.39,6.29
4/30/2002,1.42,6.26
5/1/2002,1.45,6.3
5/2/2002,1.45,6.24
5/3/2002,1.48,6.3
5/6/2002,1.35,6.3
5/7/2002,1.36,6.35
5/8/2002,1.31,6.2
5/9/2002,1.32,6.05
5/10/2002,1.38,6.57
5/13/2002,1.31,6.52
5/14/2002,1.23,6.42
5/15/2002,1.3,6.54
5/16/2002,1.32,6.63
5/17/2002,1.3,6.59
5/20/2002,1.31,6.63
5/21/2002,1.3,6.57
5/22/2002,1.32,6.6
5/23/2002,1.31,6.55
5/24/2002,1.33,6.59
5/28/2002,1.35,6.59
5/29/2002,1.37,6.65
5/30/2002,1.38,6.71
5/31/2002,1.36,6.66
6/3/2002,1.35,6.68
6/4/2002,1.37,6.72
6/5/2002,1.37,6.69
6/6/2002,1.38,6.74
6/7/2002,1.4,6.74
6/10/2002,1.4,6.84
6/11/2002,1.42,6.88
6/12/2002,1.46,6.95
6/13/2002,1.44,7.09
6/14/2002,1.47,7.21
6/17/2002,1.45,7.15
6/18/2002,1.43,7.17
6/19/2002,1.47,7.27
6/20/2002,1.56,7.18
6/21/2002,1.65,7.2
6/24/2002,1.59,7.26
6/25/2002,1.54,7.3
6/26/2002,1.59,7.46
6/27/2002,1.54,7.45
6/28/2002,1.55,7.68
7/1/2002,1.55,7.69
7/2/2002,1.58,7.78
7/3/2002,1.58,7.86
7/5/2002,1.53,7.77
7/8/2002,1.56,7.84
7/9/2002,1.57,7.89
7/10/2002,1.6,8
7/11/2002,1.56,8.05
7/12/2002,1.57,8.17
7/15/2002,1.54,8.26
7/16/2002,1.51,8.18
7/17/2002,1.52,8.23
7/18/2002,1.52,8.31
7/19/2002,1.53,8.4
7/22/2002,1.56,8.51
7/23/2002,1.57,8.59
7/24/2002,1.62,8.49
7/25/2002,1.65,8.58
7/26/2002,1.69,8.72
7/29/2002,1.73,8.66
7/30/2002,1.76,8.84
7/31/2002,1.82,9.15
8/1/2002,1.75,9.19
8/2/2002,1.81,9.3
8/5/2002,1.87,9.4
8/6/2002,1.84,9.32
8/7/2002,1.81,9.45
8/8/2002,1.76,9.35
8/9/2002,1.79,9.45
8/12/2002,1.85,9.49
8/13/2002,1.87,9.6
8/14/2002,1.84,9.65
8/15/2002,1.83,9.68
8/16/2002,1.78,9.56
8/19/2002,1.75,9.6
8/20/2002,1.77,9.71
8/21/2002,1.77,9.57
8/22/2002,1.72,9.42
8/23/2002,1.76,9.45
8/26/2002,1.74,9.45
8/27/2002,1.68,9.38
8/28/2002,1.69,9.41
8/29/2002,1.67,9.32
8/30/2002,1.68,9.18
9/3/2002,1.78,9.36
9/4/2002,1.79,9.39
9/5/2002,1.82,9.45
9/6/2002,1.76,9.33
9/9/2002,1.77,9.29
9/10/2002,1.78,9.3
9/11/2002,1.75,9.21
9/12/2002,1.77,9.2
9/13/2002,1.75,9.25
9/16/2002,1.75,9.24
9/17/2002,1.77,9.2
9/18/2002,1.81,9.22
9/19/2002,1.86,9.32
9/20/2002,1.86,9.37
9/23/2002,1.93,9.51
9/24/2002,1.94,9.62
9/25/2002,1.87,9.53
9/26/2002,1.88,9.53
9/27/2002,1.92,9.8
9/30/2002,1.98,9.96
10/1/2002,1.93,9.86
10/2/2002,1.93,9.91
10/3/2002,1.92,9.97
10/4/2002,1.89,9.99
10/7/2002,1.89,10.09
10/8/2002,1.89,10.13
10/9/2002,1.97,10.24
10/10/2002,1.94,10.21
10/11/2002,1.9,10.36
10/15/2002,1.82,10.29
10/16/2002,1.82,10.26
10/17/2002,1.79,10.18
10/18/2002,1.77,10.15
10/21/2002,1.7,10.07
10/22/2002,1.69,10.05
10/23/2002,1.69,10.08
10/24/2002,1.72,10.1
10/25/2002,1.72,10.16
10/28/2002,1.72,10.17
10/29/2002,1.76,10.33
10/30/2002,1.74,10.3
10/31/2002,1.75,10.14
11/1/2002,1.74,10.06
11/4/2002,1.7,9.93
11/5/2002,1.69,9.89
11/6/2002,1.7,9.89
11/7/2002,1.71,9.93
11/8/2002,1.72,9.98
11/12/2002,1.72,9.96
11/13/2002,1.73,9.96
11/14/2002,1.67,9.62
11/15/2002,1.6,9.42
11/18/2002,1.59,9.38
11/19/2002,1.57,9.33
11/20/2002,1.52,9.14
11/21/2002,1.5,8.97
11/22/2002,1.48,8.92
11/25/2002,1.48,8.93
11/26/2002,1.53,9.02
11/27/2002,1.45,8.48
11/29/2002,1.44,8.47
12/2/2002,1.41,8.4
12/3/2002,1.41,8.36
12/4/2002,1.46,8.36
12/5/2002,1.47,8.41
12/6/2002,1.47,8.4
12/9/2002,1.48,8.43
12/10/2002,1.47,8.45
12/11/2002,1.48,8.52
12/12/2002,1.48,8.54
12/13/2002,1.47,8.48
12/16/2002,1.45,8.35
12/17/2002,1.44,8.34
12/18/2002,1.45,8.38
12/19/2002,1.46,8.43
12/20/2002,1.45,8.43
12/23/2002,1.44,8.42
12/24/2002,1.46,8.46
12/26/2002,1.47,8.45
12/27/2002,1.5,8.56
12/30/2002,1.51,8.52
12/31/2002,1.49,8.51
1/2/2003,1.44,8.29
1/3/2003,1.44,8.27
1/6/2003,1.43,8.18
1/7/2003,1.43,8.11
1/8/2003,1.45,8.09
1/9/2003,1.37,7.85
1/10/2003,1.4,7.82
1/13/2003,1.44,7.82
1/14/2003,1.41,7.68
1/15/2003,1.41,7.6
1/16/2003,1.41,7.6
1/17/2003,1.45,7.66
1/21/2003,1.49,7.72
1/22/2003,1.51,7.77
1/23/2003,1.49,7.74
1/24/2003,1.5,7.81
1/27/2003,1.48,7.76
1/28/2003,1.47,7.77
1/29/2003,1.45,7.7
1/30/2003,1.47,7.74
1/31/2003,1.49,7.8
2/3/2003,1.49,7.78
2/4/2003,1.51,7.83
2/5/2003,1.48,7.77
2/6/2003,1.51,7.84
2/7/2003,1.51,7.88
2/10/2003,1.48,7.84
2/11/2003,1.49,7.86
2/12/2003,1.5,7.93
2/13/2003,1.52,8.04
2/14/2003,1.49,8.1
2/18/2003,1.49,8.11
2/19/2003,1.51,8.17
2/20/2003,1.5,8.15
2/21/2003,1.48,8.1
2/24/2003,1.48,8.11
2/25/2003,1.46,8.11
2/26/2003,1.48,8.1
2/27/2003,1.49,8.07
2/28/2003,1.5,7.93
3/3/2003,1.5,7.89
3/4/2003,1.5,7.89
3/5/2003,1.51,7.9
3/6/2003,1.46,7.86
3/7/2003,1.47,7.9
3/10/2003,1.47,7.94
3/11/2003,1.47,7.9
3/12/2003,1.46,7.86
3/13/2003,1.39,7.69
3/14/2003,1.41,7.59
3/17/2003,1.4,7.51
3/18/2003,1.36,7.41
3/19/2003,1.37,7.4
3/20/2003,1.36,7.38
3/21/2003,1.33,7.26
3/24/2003,1.36,7.33
3/25/2003,1.38,7.34
3/26/2003,1.37,7.35
3/27/2003,1.37,7.36
3/28/2003,1.36,7.37
3/31/2003,1.35,7.23
4/1/2003,1.35,7.18
4/2/2003,1.29,7.07
4/3/2003,1.27,7.04
4/4/2003,1.26,7.01
4/7/2003,1.24,6.89
4/8/2003,1.27,6.96
4/9/2003,1.31,7
4/10/2003,1.29,6.97
4/11/2003,1.28,6.92
4/14/2003,1.25,6.76
4/15/2003,1.27,6.72
4/16/2003,1.27,6.73
4/17/2003,1.25,6.69
4/21/2003,1.23,6.64
4/22/2003,1.22,6.61
4/23/2003,1.2,6.57
4/24/2003,1.21,6.59
4/25/2003,1.21,6.54
4/28/2003,1.19,6.44
4/29/2003,1.18,6.4
4/30/2003,1.17,6.15
5/1/2003,1.17,6.17
5/2/2003,1.12,6.09
5/5/2003,1.12,6.11
5/6/2003,1.16,6.2
5/7/2003,1.17,6.28
5/8/2003,1.15,6.3
5/9/2003,1.14,6.29
5/12/2003,1.14,6.34
5/13/2003,1.11,6.35
5/14/2003,1.14,6.42
5/15/2003,1.15,6.33
5/16/2003,1.18,6.37
5/19/2003,1.17,6.4
5/20/2003,1.23,6.47
5/21/2003,1.19,6.41
5/22/2003,1.2,6.45
5/23/2003,1.2,6.48
5/27/2003,1.17,6.48
5/28/2003,1.17,6.47
5/29/2003,1.21,6.58
5/30/2003,1.19,6.54
6/2/2003,1.17,6.48
6/3/2003,1.2,6.53
6/4/2003,1.21,6.55
6/5/2003,1.18,6.48
6/6/2003,1.17,6.4
6/9/2003,1.2,6.46
6/10/2003,1.22,6.54
6/11/2003,1.18,6.42
6/12/2003,1.18,6.39
6/13/2003,1.17,6.24
6/16/2003,1.13,6.14
6/17/2003,1.11,6.02
6/18/2003,1.1,5.93
6/19/2003,1.13,5.96
6/20/2003,1.15,5.91
6/23/2003,1.17,6
6/24/2003,1.18,6.05
6/25/2003,1.14,5.93
6/26/2003,1.12,5.77
6/27/2003,1.14,5.78
6/30/2003,1.15,5.84
7/1/2003,1.18,5.82
7/2/2003,1.19,5.85
7/3/2003,1.21,5.76
7/7/2003,1.23,5.7
7/8/2003,1.23,5.67
7/9/2003,1.22,5.68
7/10/2003,1.21,5.71
7/11/2003,1.22,5.74
7/14/2003,1.18,5.63
7/15/2003,1.13,5.37
7/16/2003,1.12,5.35
7/17/2003,1.11,5.32
7/18/2003,1.09,5.26
7/21/2003,1.03,5.08
7/22/2003,1.06,5.12
7/23/2003,1.07,5.15
7/24/2003,1.07,5.14
7/25/2003,1.06,5.14
7/28/2003,1.05,5.05
7/29/2003,1.08,5.07
7/30/2003,1.11,5.2
7/31/2003,1.12,5.27
8/1/2003,1.21,5.37
8/4/2003,1.27,5.47
8/5/2003,1.23,5.38
8/6/2003,1.27,5.61
8/7/2003,1.23,5.7
8/8/2003,1.15,5.7
8/11/2003,1.14,5.67
8/12/2003,1.18,5.73
8/13/2003,1.14,5.54
8/14/2003,1.14,5.61
8/15/2003,1.17,5.69
8/18/2003,1.17,5.68
8/19/2003,1.16,5.64
8/20/2003,1.14,5.46
8/21/2003,1.11,5.25
8/22/2003,1.13,5.26
8/25/2003,1.11,5.19
8/26/2003,1.11,5.21
8/27/2003,1.09,5.1
8/28/2003,1.12,5.16
8/29/2003,1.12,5.11
9/2/2003,1.11,4.84
9/3/2003,1.1,4.81
9/4/2003,1.14,4.9
9/5/2003,1.15,5.06
9/8/2003,1.14,5
9/9/2003,1.13,4.98
9/10/2003,1.13,5.06
9/11/2003,1.1,5
9/12/2003,1.1,5.06
9/15/2003,1.09,5.08
9/16/2003,1.09,5.02
9/17/2003,1.09,5.03
9/18/2003,1.08,4.95
9/19/2003,1.07,4.92
9/22/2003,1.06,4.89
9/23/2003,1.06,4.93
9/24/2003,1.07,4.97
9/25/2003,1.03,5
9/26/2003,1.05,5.08
9/29/2003,1.03,5.02
9/30/2003,1.07,5.17
10/1/2003,1.08,5.08
10/2/2003,1.08,4.98
10/3/2003,1.03,4.81
10/6/2003,1.07,4.86
10/7/2003,1.06,4.74
10/8/2003,1.07,4.73
10/9/2003,1.06,4.66
10/10/2003,1.06,4.68
10/14/2003,1.04,4.57
10/15/2003,1.02,4.51
10/16/2003,1.01,4.32
10/17/2003,1.05,4.37
10/20/2003,1.06,4.37
10/21/2003,1.05,4.36
10/22/2003,1.1,4.5
10/23/2003,1.09,4.5
10/24/2003,1.1,4.59
10/27/2003,1.07,4.52
10/28/2003,1.1,4.58
10/29/2003,1.05,4.47
10/30/2003,1.04,4.39
10/31/2003,1.03,4.46
11/3/2003,1.02,4.34
11/4/2003,1.02,4.37
11/5/2003,1,4.31
11/6/2003,0.97,4.25
11/7/2003,0.97,4.22
11/10/2003,0.96,4.19
11/12/2003,0.97,4.25
11/13/2003,1.02,4.37
11/14/2003,1.02,4.45
11/17/2003,1.04,4.45
11/18/2003,1.04,4.43
11/19/2003,1.02,4.35
11/20/2003,1.05,4.41
11/21/2003,1.05,4.4
11/24/2003,1.03,4.31
11/25/2003,1.05,4.34
11/26/2003,1.01,4.26
11/28/2003,0.98,4.17
12/1/2003,0.9,4.08
12/2/2003,0.99,4.06
12/3/2003,0.98,3.96
12/4/2003,1,3.98
12/5/2003,1.09,4.11
12/8/2003,1.01,4.02
12/9/2003,0.98,3.93
12/10/2003,1,3.96
12/11/2003,1.03,4.09
12/12/2003,1.03,4.07
12/15/2003,1.03,4.04
12/16/2003,1.05,4.09
12/17/2003,1.04,4.06
12/18/2003,1.04,4.07
12/19/2003,1.04,4.06
12/22/2003,1.02,4.02
12/23/2003,0.98,3.89
12/24/2003,1.02,3.96
12/26/2003,1.03,4
12/29/2003,1,3.93
12/30/2003,0.99,3.89
12/31/2003,0.99,3.94
1/2/2004,0.94,3.81
1/5/2004,0.93,3.71
1/6/2004,0.95,3.73
1/7/2004,0.96,3.66
1/8/2004,0.92,3.6
1/9/2004,0.96,3.74
1/12/2004,0.94,3.72
1/13/2004,0.97,3.77
1/14/2004,0.97,3.76
1/15/2004,0.96,3.74
1/16/2004,0.94,3.67
1/20/2004,0.95,3.62
1/21/2004,0.95,3.61
1/22/2004,0.97,3.64
1/23/2004,0.95,3.53
1/26/2004,0.95,3.51
1/27/2004,0.95,3.61
1/28/2004,0.94,3.56
1/29/2004,0.96,3.66
1/30/2004,0.98,3.74
2/2/2004,1.01,3.79
2/3/2004,1.01,3.9
2/4/2004,1,3.92
2/5/2004,0.98,3.96
2/6/2004,1,4.05
2/9/2004,1,3.99
2/10/2004,0.98,3.94
2/11/2004,0.99,4.01
2/12/2004,0.97,3.92
2/13/2004,0.97,3.95
2/17/2004,0.96,3.91
2/18/2004,0.95,3.92
2/19/2004,0.95,3.94
2/20/2004,0.92,3.91
2/23/2004,0.96,4.01
2/24/2004,0.97,4.07
2/25/2004,0.96,4.05
2/26/2004,0.94,4.02
2/27/2004,0.96,4.05
3/1/2004,0.93,3.99
3/2/2004,0.91,3.93
3/3/2004,0.91,3.93
3/4/2004,0.92,3.95
3/5/2004,0.95,4.08
3/8/2004,0.95,4.08
3/9/2004,0.95,4.12
3/10/2004,0.95,4.1
3/11/2004,0.97,4.13
3/12/2004,0.96,4.11
3/15/2004,0.95,4.12
3/16/2004,0.97,4.25
3/17/2004,0.96,4.23
3/18/2004,0.94,4.18
3/19/2004,0.93,4.16
3/22/2004,0.95,4.25
3/23/2004,0.94,4.27
3/24/2004,0.94,4.28
3/25/2004,0.91,4.26
3/26/2004,0.89,4.16
3/29/2004,0.87,4.09
3/30/2004,0.88,4.09
3/31/2004,0.92,4.14
4/1/2004,0.9,4.08
4/2/2004,0.85,3.9
4/5/2004,0.83,3.86
4/6/2004,0.85,3.88
4/7/2004,0.86,3.86
4/8/2004,0.84,3.82
4/12/2004,0.84,3.77
4/13/2004,0.82,3.71
4/14/2004,0.83,3.73
4/15/2004,0.85,3.71
4/16/2004,0.87,3.77
4/19/2004,0.86,3.74
4/20/2004,0.86,3.69
4/21/2004,0.88,3.7
4/22/2004,0.88,3.71
4/23/2004,0.85,3.61
4/26/2004,0.86,3.62
4/27/2004,0.9,3.64
4/28/2004,0.94,3.61
4/29/2004,0.97,3.63
4/30/2004,1,3.67
5/3/2004,1.02,3.72
5/4/2004,1.02,3.76
5/5/2004,1.04,3.75
5/6/2004,1.1,3.83
5/7/2004,1.08,3.76
5/10/2004,1.16,3.95
5/11/2004,1.1,4
5/12/2004,1.1,4.07
5/13/2004,1.08,4.13
5/14/2004,1.14,4.23
5/17/2004,1.09,4.33
5/18/2004,1.05,4.23
5/19/2004,1.04,4.09
5/20/2004,1.08,4.18
5/21/2004,1.06,4.1
5/24/2004,1.06,4.08
5/25/2004,1.06,4.07
5/26/2004,1.08,4.08
5/27/2004,1.08,4.13
5/28/2004,1.05,4.05
5/31/2004,1.05,4.05
6/1/2004,1.06,4.02
6/2/2004,1.07,4
6/3/2004,1.09,4.01
6/4/2004,1.06,3.9
6/7/2004,1.06,3.94
6/8/2004,1.06,3.9
6/9/2004,1.04,3.85
6/10/2004,1.06,3.85
6/14/2004,1.03,3.81
6/15/2004,1.11,3.98
6/16/2004,1.1,3.89
6/17/2004,1.09,3.91
6/18/2004,1.08,3.88
6/21/2004,1.08,3.86
6/22/2004,1.08,3.83
6/23/2004,1.09,3.84
6/24/2004,1.08,3.89
6/25/2004,1.08,3.88
6/28/2004,1.06,3.79
6/29/2004,1.08,3.84
6/30/2004,1.09,3.93
7/1/2004,1.12,3.95
7/2/2004,1.11,4.03
7/6/2004,1.1,3.97
7/7/2004,1.11,3.96
7/8/2004,1.13,3.94
7/9/2004,1.12,3.91
7/12/2004,1.11,3.91
7/13/2004,1.1,3.87
7/14/2004,1.08,3.84
7/15/2004,1.08,3.82
7/16/2004,1.08,3.89
7/19/2004,1.05,3.84
7/20/2004,1.01,3.73
7/21/2004,1.03,3.71
7/22/2004,1.04,3.76
7/23/2004,1.03,3.8
7/26/2004,1.03,3.79
7/27/2004,1.02,3.75
7/28/2004,1.02,3.79
7/29/2004,1.03,3.8
7/30/2004,1.05,3.89
8/2/2004,1.04,3.87
8/3/2004,1.03,3.89
8/4/2004,1.03,3.9
8/5/2004,1.04,3.91
8/6/2004,1.04,4.04
8/9/2004,1.03,4
8/10/2004,1.02,3.95
8/11/2004,1.03,3.97
8/12/2004,1.04,4
8/13/2004,1.03,4.05
8/16/2004,1.01,4.02
8/17/2004,1.02,4.04
8/18/2004,0.99,3.99
8/19/2004,1,3.99
8/20/2004,0.98,3.94
8/23/2004,0.96,3.89
8/24/2004,0.97,3.87
8/25/2004,0.97,3.87
8/26/2004,0.98,3.88
8/27/2004,0.97,3.87
8/30/2004,0.98,3.89
8/31/2004,0.97,3.94
9/1/2004,0.97,3.92
9/2/2004,0.95,3.86
9/3/2004,0.93,3.76
9/7/2004,0.96,3.8
9/8/2004,0.99,3.83
9/9/2004,0.97,3.77
9/10/2004,0.98,3.77
9/13/2004,0.99,3.75
9/14/2004,0.99,3.75
9/15/2004,0.96,3.73
9/16/2004,0.96,3.81
9/17/2004,0.94,3.72
9/20/2004,0.94,3.79
9/21/2004,0.94,3.76
9/22/2004,0.95,3.77
9/23/2004,0.96,3.71
9/24/2004,0.99,3.69
9/27/2004,1.01,3.72
9/28/2004,1,3.73
9/29/2004,0.99,3.68
9/30/2004,0.98,3.68
10/1/2004,0.96,3.64
10/4/2004,0.96,3.64
10/5/2004,0.95,3.63
10/6/2004,0.93,3.57
10/7/2004,0.94,3.54
10/8/2004,0.96,3.6
10/12/2004,0.93,3.62
10/13/2004,0.94,3.65
10/14/2004,0.97,3.71
10/15/2004,0.95,3.67
10/18/2004,0.95,3.68
10/19/2004,0.96,3.69
10/20/2004,0.97,3.75
10/21/2004,0.96,3.7
10/22/2004,0.95,3.69
10/25/2004,0.96,3.68
10/26/2004,0.95,3.63
10/27/2004,0.91,3.51
10/28/2004,0.92,3.49
10/29/2004,0.93,3.51
11/1/2004,0.91,3.4
11/2/2004,0.91,3.39
11/3/2004,0.91,3.35
11/4/2004,0.89,3.29
11/5/2004,0.85,3.15
11/8/2004,0.85,3.17
11/9/2004,0.85,3.17
11/10/2004,0.83,3.16
11/12/2004,0.84,3.19
11/15/2004,0.84,3.18
11/16/2004,0.83,3.14
11/17/2004,0.85,3.18
11/18/2004,0.84,3.15
11/19/2004,0.82,3.07
11/22/2004,0.83,3.11
11/23/2004,0.82,3.06
11/24/2004,0.81,3.02
11/26/2004,0.8,2.98
11/29/2004,0.8,2.96
11/30/2004,0.83,3
12/1/2004,0.76,2.99
12/2/2004,0.75,2.97
12/3/2004,0.78,3.04
12/6/2004,0.76,3.04
12/7/2004,0.76,3.02
12/8/2004,0.77,3.06
12/9/2004,0.75,3.01
12/10/2004,0.76,3
12/13/2004,0.77,2.98
12/14/2004,0.78,2.98
12/15/2004,0.77,3
12/16/2004,0.74,2.9
12/17/2004,0.73,2.9
12/20/2004,0.72,2.91
12/21/2004,0.73,2.92
12/22/2004,0.72,2.89
12/23/2004,0.72,2.89
12/27/2004,0.69,2.83
12/28/2004,0.71,2.84
12/29/2004,0.71,2.8
12/30/2004,0.73,2.85
12/31/2004,0.74,2.88
1/3/2005,0.72,2.84
1/4/2005,0.72,2.77
1/5/2005,0.75,2.84
1/6/2005,0.74,2.87
1/7/2005,0.72,2.86
1/10/2005,0.73,2.88
1/11/2005,0.74,2.97
1/12/2005,0.74,2.99
1/13/2005,0.75,3.03
1/14/2005,0.73,3.01
1/18/2005,0.74,3.05
1/19/2005,0.73,3.04
1/20/2005,0.73,3.13
1/21/2005,0.73,3.16
1/24/2005,0.73,3.15
1/25/2005,0.72,3.08
1/26/2005,0.71,3.06
1/27/2005,0.71,3.02
1/28/2005,0.72,3.06
1/31/2005,0.7,3.06
2/1/2005,0.72,3.03
2/2/2005,0.73,2.98
2/3/2005,0.72,2.93
2/4/2005,0.72,2.97
2/7/2005,0.71,2.94
2/8/2005,0.71,2.91
2/9/2005,0.74,2.98
2/10/2005,0.69,2.94
2/11/2005,0.7,2.91
2/14/2005,0.71,2.9
2/15/2005,0.7,2.87
2/16/2005,0.69,2.78
2/17/2005,0.68,2.78
2/18/2005,0.67,2.74
2/22/2005,0.67,2.72
2/23/2005,0.68,2.72
2/24/2005,0.67,2.68
2/25/2005,0.67,2.65
2/28/2005,0.65,2.59
3/1/2005,0.68,2.6
3/2/2005,0.68,2.62
3/3/2005,0.67,2.62
3/4/2005,0.67,2.64
3/7/2005,0.66,2.6
3/8/2005,0.64,2.55
3/9/2005,0.64,2.5
3/10/2005,0.67,2.57
3/11/2005,0.64,2.53
3/14/2005,0.69,2.58
3/15/2005,0.7,2.58
3/16/2005,0.75,2.68
3/17/2005,0.75,2.78
3/18/2005,0.74,2.76
3/21/2005,0.77,2.89
3/22/2005,0.74,2.9
3/23/2005,0.81,3
3/24/2005,0.8,2.98
3/28/2005,0.79,2.99
3/29/2005,0.84,3.1
3/30/2005,0.82,3.18
3/31/2005,0.82,3.29
4/1/2005,0.84,3.31
4/4/2005,0.84,3.35
4/5/2005,0.84,3.28
4/6/2005,0.85,3.23
4/7/2005,0.82,3.16
4/8/2005,0.81,3.15
4/11/2005,0.83,3.23
4/12/2005,0.83,3.34
4/13/2005,0.82,3.37
4/14/2005,0.86,3.51
4/15/2005,0.92,3.66
4/18/2005,0.92,3.73
4/19/2005,0.88,3.75
4/20/2005,0.87,3.7
4/21/2005,0.83,3.58
4/22/2005,0.84,3.61
4/25/2005,0.84,3.62
4/26/2005,0.85,3.67
4/27/2005,0.86,3.78
4/28/2005,0.87,3.9
4/29/2005,0.86,3.9
5/2/2005,0.86,3.88
5/3/2005,0.84,3.85
5/4/2005,0.83,3.82
5/5/2005,0.84,3.96
5/6/2005,0.81,3.96
5/9/2005,0.81,3.89
5/10/2005,0.84,3.98
5/11/2005,0.84,4.08
5/12/2005,0.85,4.11
5/13/2005,0.87,4.25
5/16/2005,0.86,4.34
5/17/2005,0.86,4.42
5/18/2005,0.86,4.38
5/19/2005,0.83,4.21
5/20/2005,0.83,4.15
5/23/2005,0.83,4.12
5/24/2005,0.84,4.11
5/25/2005,0.81,3.99
5/26/2005,0.8,3.88
5/27/2005,0.79,3.79
5/31/2005,0.79,3.84
6/1/2005,0.81,3.96
6/2/2005,0.81,3.81
6/3/2005,0.79,3.71
6/6/2005,0.81,3.81
6/7/2005,0.81,3.82
6/8/2005,0.81,3.8
6/9/2005,0.82,3.81
6/10/2005,0.79,3.71
6/13/2005,0.79,3.68
6/14/2005,0.78,3.63
6/15/2005,0.79,3.61
6/16/2005,0.8,3.66
6/17/2005,0.78,3.63
6/20/2005,0.78,3.63
6/21/2005,0.79,3.65
6/22/2005,0.82,3.73
6/23/2005,0.8,3.71
6/24/2005,0.8,3.76
6/27/2005,0.81,3.79
6/28/2005,0.78,3.69
6/29/2005,0.78,3.65
6/30/2005,0.78,3.67
7/1/2005,0.75,3.56
7/5/2005,0.75,3.52
7/6/2005,0.77,3.56
7/7/2005,0.79,3.6
7/8/2005,0.75,3.48
7/11/2005,0.75,3.44
7/12/2005,0.73,3.36
7/13/2005,0.73,3.34
7/14/2005,0.72,3.27
7/15/2005,0.74,3.29
7/18/2005,0.72,3.25
7/19/2005,0.74,3.28
7/20/2005,0.76,3.28
7/21/2005,0.71,3.21
7/22/2005,0.74,3.24
7/25/2005,0.73,3.21
7/26/2005,0.74,3.21
7/27/2005,0.72,3.16
7/28/2005,0.76,3.19
7/29/2005,0.72,3.1
8/1/2005,0.72,3.12
8/2/2005,0.72,3.11
8/3/2005,0.73,3.15
8/4/2005,0.72,3.15
8/5/2005,0.7,3.12
8/8/2005,0.71,3.15
8/9/2005,0.73,3.18
8/10/2005,0.72,3.16
8/11/2005,0.73,3.21
8/12/2005,0.76,3.26
8/15/2005,0.72,3.21
8/16/2005,0.74,3.28
8/17/2005,0.72,3.24
8/18/2005,0.74,3.28
8/19/2005,0.74,3.25
