,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
3/16/2000,1458.47,550.42,2226.3,574.824,1005.76,547.2,287.35
3/17/2000,1464.47,547.94,2228.55,575.398,1008.31,546.84,283.9
3/20/2000,1456.63,545.41,2129.51,549.811,1009.28,547.2,285.75
3/21/2000,1493.87,555.52,2143.93,553.532,1010.44,546.84,285.15
3/22/2000,1500.64,554.04,2215.8,572.029,1011.33,547.05,287.8
3/23/2000,1527.35,565.09,2225.59,574.549,1012.11,547.3,284.75
3/24/2000,1527.46,565.94,2226.94,574.895,1007.6,547.05,284.85
3/27/2000,1523.86,562.33,2225,574.39,1008.21,545.02,284.15
3/28/2000,1507.73,560.76,2168.42,559.769,1008.69,544.41,280.65
3/29/2000,1508.52,563.69,2106.66,543.633,1009.05,543.64,279.75
3/30/2000,1487.92,563.12,2062.63,532.25,1013.8,537.48,275.75
3/31/2000,1498.58,568.34,2091.68,539.733,1013.22,536.47,276.75
4/3/2000,1505.97,579.53,2002.47,516.701,1015.33,536.46,277.5
4/4/2000,1494.73,572.55,1963.59,506.661,1021.25,536.9,276.85
4/5/2000,1487.37,569.86,2010.17,518.662,1018.68,536.24,281.3
4/6/2000,1501.34,575.53,2067.28,533.35,1018.28,536.28,279.35
4/7/2000,1516.35,571.07,2107.26,543.653,1022.1,537.85,280.15
4/10/2000,1504.46,574.5,2013.41,519.439,1023.53,538.72,282.25
4/11/2000,1500.59,577.96,1980.35,510.907,1017.81,538.45,282.5
4/12/2000,1467.17,578.04,1915.57,494.115,1013.34,538.51,280.4
4/13/2000,1440.51,572.73,1899.36,489.93,1014.75,538.63,281.4
4/14/2000,1356.56,543.03,1761.98,454.491,1016.55,538.35,282
4/17/2000,1401.44,543.55,1782.6,459.808,1011.07,537.95,281.75
4/18/2000,1441.61,553.85,1887.09,486.746,1010.63,537.47,281.1
4/19/2000,1427.47,552.94,1888.13,486.986,1014.43,538.05,281.35
4/20/2000,1434.54,558.22,1870.66,482.474,1015.26,538.21,279.85
4/24/2000,1429.86,563.41,1819.3,469.224,1015,538.7,
4/25/2000,1477.44,577.85,1898.86,489.743,1009.42,538.79,279.5
4/26/2000,1460.99,572.14,1880.46,484.953,1008.41,538.54,276.2
4/27/2000,1464.92,566.37,1920.41,495.223,1003.67,537.61,276
4/28/2000,1452.43,560.91,1965.81,506.902,1004.33,537.33,275.05
5/1/2000,1468.25,566.78,2015.31,519.638,1003.24,537.63,
5/2/2000,1446.29,559.74,1962.3,505.959,1001.05,537.67,275.45
5/3/2000,1415.1,549.66,1924.75,496.226,997.13,538.06,275.6
5/4/2000,1409.57,549.12,1949.3,502.535,991.73,537.75,280
5/5/2000,1432.63,552.73,1991.89,513.511,988.72,537.6,280.75
5/8/2000,1424.17,556.9,1942.46,500.727,986.06,537.88,277.9
5/9/2000,1412.14,554.34,1906.64,491.477,986.94,537.98,276.3
5/10/2000,1383.05,548.31,1842.74,474.952,987.24,538.11,277.6
5/11/2000,1407.81,557.94,1901.72,490.102,988.04,538.03,276.75
