,SHY_proxy,IEF_proxy,TLT_proxy
1999-12-31,,,
2000-01-03,-0.0032300000000000132,-0.011249999999999906,-0.024479999999999946
2000-01-04,0.0016150000000000066,0.007124999999999944,0.01445000000000006
2000-01-05,-0.0011209999999999872,-0.00727499999999999,-0.014280000000000126
2000-01-06,0.0011209999999999872,0.005249999999999942,0.01156
2000-01-07,-0.00017099999999998643,0.0006750000000000506,0.0011900000000000105
2000-01-10,-0.0009689999999999934,-0.002774999999999965,-0.006459999999999855
2000-01-11,-0.001311000000000019,-0.00787500000000007,-0.014790000000000164
2000-01-12,-0.0008359999999999922,-0.0034500000000000156,-0.008159999999999903
2000-01-13,0.0014820000000000054,0.005475000000000063,0.011220000000000133
2000-01-14,-0.0006839999999999985,-0.0036750000000000324,-0.007480000000000167
2000-01-17,-0.0,-0.00014999999999994185,0.0013599999999999446
2000-01-18,-0.0006650000000000059,-0.0050250000000000294,-0.009859999999999952
2000-01-19,0.00032299999999998026,0.001199999999999951,0.005100000000000146
2000-01-20,-0.0008359999999999922,-0.004199999999999933,-0.005100000000000146
2000-01-21,0.0006460000000000132,0.0017249999999999557,0.008839999999999876
2000-01-24,0.0009880000000000125,0.006000000000000068,0.007650000000000101
2000-01-25,-0.0004940000000000194,-0.0005250000000001087,0.002719999999999889
2000-01-26,-0.00019000000000000543,0.0021000000000001226,0.01071000000000033
2000-01-27,-0.001216000000000003,-0.0021000000000001226,0.008839999999999876
2000-01-28,-0.0009689999999999934,0.0025500000000000522,0.011390000000000067
2000-01-31,-0.0006459999999999869,-0.0005250000000000046,-0.006630000000000025
2000-02-01,0.0003230000000000066,0.0034500000000000156,0.01156
2000-02-02,-0.00034199999999999926,0.0034499999999999115,0.02363000000000004
2000-02-03,0.0013109999999999927,0.0063000000000000556,0.02515999999999992
2000-02-04,-0.001805000000000012,-0.004500000000000025,-0.022950000000000068
2000-02-07,-0.000987999999999986,-0.006749999999999985,-0.012069999999999803
2000-02-08,-0.00015200000000002017,0.0019499999999999726,0.01886999999999988
2000-02-09,0.0004750000000000268,-0.0035249999999999865,-0.014110000000000074
2000-02-10,-0.0001710000000000128,-0.0008249999999999924,-0.01954999999999997
2000-02-11,0.0003230000000000066,0.0050250000000000294,0.02720000000000007
2000-02-14,0.000493999999999993,0.0037500000000000033,0.007139999999999827
2000-02-15,-0.0001710000000000128,0.00015000000000004593,-0.0032299999999999274
2000-02-16,0.0003230000000000066,0.0005250000000000046,-0.0032299999999999274
2000-02-17,-0.0011589999999999988,-0.001650000000000089,0.00798999999999997
2000-02-18,0.0006460000000000132,0.005850000000000022,0.010199999999999938
2000-02-21,-0.0,-0.0002999999999999878,-0.0001699999999999341
2000-02-22,0.001652999999999992,0.009900000000000013,0.012409999999999907
2000-02-23,-0.0013300000000000117,-0.004649999999999967,-0.006799999999999959
2000-02-24,0.0019000000000000015,0.004349999999999979,-0.0018699999999998648
2000-02-25,0.002394000000000021,0.00285000000000004,0.0013599999999999446
2000-02-28,-0.002242000000000001,-0.007125000000000048,-0.00986000000000007
2000-02-29,-0.00015200000000002017,0.0009750000000000383,0.007990000000000087
2000-03-01,0.0003230000000000066,0.0017249999999999557,-0.0030600000000001112
2000-03-02,-0.00017099999999998643,0.00014999999999994185,0.004420000000000056
2000-03-03,0.00034199999999997286,-0.0002999999999998837,-0.0
2000-03-06,-0.0006459999999999869,-0.0017250000000000598,-0.0018699999999999828
2000-03-07,0.0008169999999999996,0.002849999999999936,-0.00033999999999998615
2000-03-08,-0.0001710000000000128,-0.0004499999999999296,-0.002720000000000007
2000-03-09,0.00034199999999999926,0.002699999999999994,0.0015299999999999966
2000-03-10,-0.0011399999999999798,-0.002999999999999982,-0.00408000000000007
2000-03-13,0.000493999999999993,0.0009749999999999343,0.0010200000000000764
2000-03-14,0.0008169999999999996,0.005850000000000022,0.013600000000000036
2000-03-15,-0.000493999999999993,7.499999999997092e-05,0.0018699999999999828
2000-03-16,0.00017099999999998643,0.0034500000000000676,0.006119999999999869
2000-03-17,-0.0,0.0038249999999999743,0.007310000000000115
2000-03-20,-0.00047499999999997403,0.0008250000000000444,-0.0006799999999999723
2000-03-21,0.0001519999999999938,0.0036000000000000094,0.0059499999999999345
2000-03-22,0.0005129999999999857,0.0017249999999999557,0.0018699999999999828
2000-03-23,-0.000493999999999993,0.00255,0.00867000000000006
2000-03-24,-0.0023369999999999906,-0.008474999999999993,-0.013429999999999984
2000-03-27,0.00017099999999998643,0.0004500000000000337,0.0013599999999999446
2000-03-28,0.0003230000000000066,0.00255,0.0001699999999999341
2000-03-29,0.00017099999999998643,0.00029999999999993573,0.0005100000000000382
2000-03-30,0.0019950000000000176,0.006900000000000031,0.016320000000000043
2000-03-31,9.499999999998953e-05,0.0038250000000000263,0.00849999999999989
2000-04-03,0.0011400000000000062,0.002924999999999959,0.002720000000000007
2000-04-04,0.0021089999999999998,0.005250000000000046,0.006630000000000143
2000-04-05,0.0001519999999999938,0.0017249999999999557,-0.0008500000000000243
2000-04-06,-0.0017670000000000003,-0.004650000000000019,-0.002720000000000007
2000-04-07,0.000513000000000012,0.006075000000000039,0.01445000000000006
2000-04-10,0.0019569999999999796,0.00615000000000001,0.006969999999999893
2000-04-11,-0.001292,-0.008324999999999999,-0.017339999999999883
2000-04-12,-0.000493999999999993,-0.003974999999999968,-0.007309999999999997
2000-04-13,0.0001710000000000128,0.0021749999999999894,0.0035699999999999135
2000-04-14,0.002146999999999985,0.004199999999999985,0.002720000000000007
2000-04-17,-0.0015389999999999833,-0.01410000000000005,-0.0265200000000001
2000-04-18,-0.0002470000000000097,-0.0015750000000000139,0.0037400000000000835
2000-04-19,0.00017099999999998643,0.0050250000000000294,0.010709999999999976
2000-04-20,-0.0007979999999999806,-0.0001499999999999939,0.002890000000000059
2000-04-21,-0.0,0.00044999999999998166,0.0005099999999999202
2000-04-24,-0.000493999999999993,-0.0021749999999999894,-0.008159999999999903
2000-04-25,-0.0018240000000000047,-0.008324999999999999,-0.01036999999999999
2000-04-26,-0.0003230000000000066,-0.0001499999999999939,-0.0013600000000000625
2000-04-27,-0.0021280000000000188,-0.006975000000000002,-0.006970000000000011
2000-04-28,-0.001196999999999984,0.0008250000000000444,0.004250000000000004
2000-05-01,-0.0008169999999999996,-0.0049500000000000585,-0.004760000000000042
2000-05-02,0.0001519999999999938,-0.0015750000000000139,-0.003910000000000018
2000-05-03,-0.0006650000000000059,-0.0076499999999999485,-0.01784999999999992
2000-05-04,-0.00015199999999996743,-0.0019499999999999726,-0.006630000000000025
2000-05-05,-0.0013300000000000117,-0.005850000000000022,-0.005609999999999948
2000-05-08,-0.000513000000000012,-0.004124999999999962,-0.00935000000000015
2000-05-09,0.0001519999999999938,0.0023249999999999313,0.005100000000000146
2000-05-10,0.0009880000000000125,0.008175000000000057,0.01087999999999991
2000-05-11,-0.00034199999999999926,0.0008249999999999924,0.0005100000000000382
2000-05-12,-0.001672000000000011,-0.0077250000000000235,-0.009349999999999914
2000-05-15,0.0009880000000000125,0.0049499999999999544,0.00798999999999997
2000-05-16,-0.000513000000000012,0.0016499999999999848,0.006969999999999893
2000-05-17,-0.0005129999999999857,-0.005399999999999988,-0.012069999999999921
2000-05-18,-0.0001710000000000128,-0.0032999999999999696,-0.007310000000000115
2000-05-19,0.001292,0.0034500000000000156,0.0035700000000000315
2000-05-22,0.000493999999999993,0.004124999999999962,0.0035700000000001494
2000-05-23,0.0004940000000000194,0.00030000000000009186,0.004249999999999886
2000-05-24,-0.0008359999999999922,-0.002625000000000023,-0.005609999999999948
2000-05-25,0.0023179999999999976,0.005699999999999976,0.014790000000000046
2000-05-26,0.0007219999999999837,0.004724999999999938,0.007989999999999851
2000-05-29,-0.0,-0.0,-0.00016999999999981613
2000-05-30,-0.0011209999999999872,-0.0033749999999999405,-0.005440000000000014
2000-05-31,0.0011209999999999872,0.0077999999999999944,0.01427999999999989
2000-06-01,0.0016150000000000066,0.006074999999999987,0.01105000000000008
2000-06-02,0.001463000000000013,0.002925000000000011,-0.0003400000000001041
2000-06-05,0.00034199999999997286,0.0022500000000000124,0.005100000000000028
2000-06-06,-0.0,-0.0,0.0011900000000000105
2000-06-07,-0.0007979999999999806,-0.00142500000000002,0.00017000000000005205
2000-06-08,-0.0001710000000000128,0.0012750000000000261,0.0035699999999999135
2000-06-09,1.9000000000019e-05,-0.00015000000000004593,-0.0015299999999998787
