Date,M2_Growth
4/30/2020,0.059463235
5/31/2020,0.047371187
6/30/2020,0.015797727
7/31/2020,0.008543325
8/31/2020,0.00359855
9/30/2020,0.012480675
10/31/2020,0.008230672
11/30/2020,0.012029181
12/31/2020,0.008024669
1/31/2021,0.01168493
2/28/2021,0.012008233
3/31/2021,0.011283384
4/30/2021,0.016682352
5/31/2021,0.01310065
6/30/2021,0.002058617
7/31/2021,0.007514137
8/31/2021,0.008763258
9/30/2021,0.007979205
10/31/2021,0.007719199
11/30/2021,0.007962358
12/31/2021,0.007262492
1/31/2022,0.005551957
2/28/2022,0.004545727
3/31/2022,0.001705763
4/30/2022,0.001400348
5/31/2022,-0.002628526
6/30/2022,-0.002140537
7/31/2022,-1.38399E-05
8/31/2022,-0.001501571
9/30/2022,-0.003868167
10/31/2022,-0.004416327
11/30/2022,-0.002671823
12/31/2022,-0.006686604
1/31/2023,-0.000800023
2/28/2023,-0.001059976
3/31/2023,-0.014796294
4/30/2023,-0.007077379
5/31/2023,0.003377989
6/30/2023,-0.000816374
7/31/2023,-0.000398741
8/31/2023,-0.001106168
9/30/2023,-0.000996543
10/31/2023,-0.001673329
11/30/2023,0.000303711
12/31/2023,8.19471E-05
1/31/2024,0.003372519
2/29/2024,0.00419557
3/31/2024,0.001948071
4/30/2024,0.001244641
5/31/2024,0.002952644
6/30/2024,0.002967584
7/31/2024,0.001325594
8/31/2024,0.003871783
9/30/2024,0.003959791
10/31/2024,0.002249613
11/30/2024,0.004804104
12/31/2024,0.000857473
1/31/2025,0.002848553
2/28/2025,0.003140706
3/31/2025,0.003245944
4/30/2025,0.006158223
5/31/2025,0.002631639
6/30/2025,0.005385155
7/31/2025,0.003574247
8/31/2025,0.002664495
9/30/2025,0.003745166
10/31/2025,0.003212025
11/30/2025,0.000933535
12/31/2025,0.00381379
1/31/2026,0.003382036
