Date,VIX,VIXChange,VIX3m-VIX
2012-04-09,18.81,0.1189799238902295,13.76987569037058
2012-04-10,20.39,0.08065594127342494,14.926515966329404
2012-04-11,20.02,-0.01831281069928938,14.655657167528918
2012-04-12,17.2,-0.15182239006766718,12.591273890184688
2012-04-13,19.55,0.12806590261196743,14.31159328797155
2012-04-16,19.55,0.0,14.31159328797155
2012-04-17,18.46,-0.05736905735666868,13.513657907721473
2012-04-18,18.64,0.00970358018273898,13.645427053083871
2012-04-19,18.36,-0.015135424065100803,13.440452826964584
2012-04-20,17.44,-0.051407966711510725,12.766966084001218
2012-04-23,18.97,0.08409236546608918,13.8870038195816
2012-04-24,18.1,-0.04694684567514267,13.250119616996678
2012-04-25,16.82,-0.07334328372697808,12.313094583308516
2012-04-26,16.24,-0.03509131981127017,11.888505114918566
2012-04-27,16.32,0.004914014802429163,11.947069179524075
2012-04-30,17.15,0.049606824075987904,12.554671349806242
2012-05-01,16.6,-0.03259547824945123,12.152043405643361
2012-05-02,16.88,0.016726793805313365,12.357017631762645
2012-05-03,17.56,0.03949409903915957,12.854812180909484
2012-05-04,19.16,0.087201184335744,14.026093473019689
2012-05-07,18.94,-0.011548684784782208,13.865042295354538
2012-05-08,19.05,0.005791013814777717,13.94556788418711
2012-05-09,20.08,0.05265719325081836,14.699580215983055
2012-05-10,18.83,-0.06427295215446746,13.784516706521956
2012-05-11,19.89,0.054765750196819896,14.56049056254497
2012-05-14,21.87,0.09489874182279573,16.009951161531344
2012-05-15,21.97,0.0045620517078423725,16.083156242288233
2012-05-16,22.27,0.013562594872757468,16.302771484558892
2012-05-17,24.49,0.09502438969480011,17.9279242773618
2012-05-18,25.1,0.024602975173661945,18.374475269978817
2012-05-21,22.01,-0.13137095059936782,16.11243827459099
2012-05-22,22.48,0.021129129487120046,16.456502154148357
2012-05-23,22.33,-0.006694959173423949,16.34669453301303
2012-05-24,21.54,-0.03601939412382395,15.76837439503361
2012-05-25,21.76,0.010161750259499513,15.929425572698772
2012-05-29,21.03,-0.03412343227313348,15.39502848317349
2012-05-30,24.14,0.13792022595477701,17.671706494712694
2012-05-31,24.06,-0.003319505122852705,17.613142430107185
2012-06-01,26.66,0.10261360420402979,19.51647452978627
2012-06-04,26.12,-0.02046301034233225,19.121167093699075
2012-06-05,24.68,-0.0567081053710433,18.067013930799888
2012-06-06,22.16,-0.10770433715810393,16.22224589572632
2012-06-07,21.72,-0.020055366813348432,15.900143540396009
2012-06-08,21.23,-0.02281821935056993,15.541438644687265
2012-06-11,23.56,0.10413508306822113,17.247117026322744
2012-06-12,22.09,-0.0644253413513601,16.171002339196495
2012-06-13,24.27,0.09411600230648426,17.76687309969665
2012-06-14,21.68,-0.11285084316706451,15.870861508093256
2012-06-15,21.11,-0.02664331471121628,15.453592547778996
