Date,CPI_change_lag1,CPI_yoy_lag1,CPI_change_3m_lag1,Inflation_Regime_lag1,UMich_Sentiment_lag1,CB_Confidence_lag1
1999-12-31,,,,,,
2000-01-31,,,,0.0,105.4,141.7
2000-02-29,0.5,,,0.0,112.0,144.7
2000-03-31,0.6999999999999886,,,0.0,111.3,140.8
2000-04-30,1.0,,0.7333333333333295,0.0,107.1,137.1
2000-05-31,-0.09999999999999432,,0.5333333333333314,0.0,109.2,137.7
2000-06-30,0.29999999999998295,,0.3999999999999962,0.0,110.7,144.7
2000-07-31,1.0,,0.3999999999999962,0.0,106.4,139.2
2000-08-31,0.5,,0.5999999999999943,0.0,108.3,143.0
2000-09-30,0.0,,0.5,0.0,107.3,140.8
2000-10-31,0.9000000000000057,,0.46666666666666856,0.0,106.8,142.5
2000-11-30,0.30000000000001137,,0.4000000000000057,0.0,105.8,135.8
2000-12-31,0.29999999999998295,,0.5,0.0,107.6,132.6
2001-01-31,0.4000000000000057,0.03436018957345954,0.3333333333333333,1.0,98.4,128.6
2001-02-28,1.0,0.037212049616065945,0.5666666666666629,1.0,94.7,115.7
2001-03-31,0.4000000000000057,0.03529411764705892,0.6000000000000038,1.0,90.6,109.2
2001-04-30,0.09999999999999432,0.029824561403508643,0.5,0.0,91.5,116.9
2001-05-31,0.30000000000001137,0.03218256290228205,0.26666666666667044,1.0,88.4,109.9
2001-06-30,0.9000000000000057,0.035630841121495394,0.4333333333333371,1.0,92.0,116.1
2001-07-31,0.39999999999997726,0.03193960511033689,0.5333333333333314,1.0,92.6,118.9
2001-08-31,-0.29999999999998295,0.027214823393167498,0.3333333333333333,0.0,92.4,116.3
2001-09-30,0.0,0.027214823393167498,0.03333333333333144,0.0,91.5,114.0
2001-10-31,0.6999999999999886,0.025921658986175045,0.13333333333333522,0.0,81.8,97.0
2001-11-30,-0.5,0.02127659574468077,0.06666666666666288,0.0,82.7,85.3
2001-12-31,-0.09999999999999432,0.01894374282433997,0.03333333333333144,0.0,83.9,84.9
2002-01-31,-0.09999999999999432,0.01603665521191311,-0.23333333333332953,0.0,88.8,94.6
2002-02-28,0.29999999999998295,0.011958997722095743,0.03333333333333144,0.0,93.0,97.8
2002-03-31,0.30000000000001137,0.011363636363636465,0.16666666666666666,0.0,90.7,95.0
2002-04-30,0.5,0.013628620102214661,0.36666666666666475,0.0,95.7,110.7
