Date,M2_growth_lag1,M2_growth_3m_lag1,M2_growth_yoy_lag1
1999-12-31,,,
2000-01-31,,,
2000-02-29,0.0061000581984351765,,
2000-03-31,0.0028494301139769806,,
2000-04-30,0.0065799312098100415,0.015605802599530039,
2000-05-31,0.011906530551605732,0.021467135144399574,
2000-06-30,-0.0025378581316330973,0.015979832938110228,
2000-07-31,0.0037639043673909356,0.013137508754802019,
2000-08-31,0.0037078934137757535,0.004928898024245898,
2000-09-30,0.005885667772838277,0.013415480370923438,
2000-10-31,0.007407407407407307,0.017094017094017033,
2000-11-30,0.0033160322952712207,0.016696929852023423,
2000-12-31,0.0023402377188839196,0.013113393505550297,
2001-01-31,0.009195731869662493,0.014911847091777952,0.06214299571055992
2001-02-28,0.010288984495494757,0.021965389115841782,0.06656525837689609
2001-03-31,0.007773738023019838,0.027505273721506684,0.07180243115640161
2001-04-30,0.011520829180785341,0.02987255459046989,0.0770634802725132
2001-05-31,0.012670450066997851,0.03230018279332314,0.07787658878308656
2001-06-30,-0.00036971454145673377,0.023958540960733465,0.08021952604243321
2001-07-31,0.008350852604531722,0.020749586190588865,0.08515585721468066
2001-08-31,0.0057720893419044295,0.013796189994356833,0.08738755661302777
2001-09-30,0.0064875239923225525,0.020750603441563653,0.08803817823425675
2001-10-31,0.021225065791983022,0.033783131599776084,0.10296177294447206
2001-11-30,-0.0021101379992903846,0.025681381957773475,0.09699669492743213
2001-12-31,0.008177701261274706,0.02740379114382696,0.1033854220001229
2002-01-31,0.009837587006960469,0.015947414614106092,0.10408718240116888
2002-02-28,0.003749655362558446,0.021913245256184544,0.09694072273667698
2002-03-31,0.005365415957076625,0.01906264501160093,0.09431931433127372
2002-04-30,0.0021492841790826667,0.011304108078301622,0.08418065736580749
2002-05-31,1.8175209014925642e-05,0.007544543939643766,0.07063493607830162
2002-06-30,0.004761818214863434,0.006939637900258644,0.07613096628513594
2002-07-31,0.004522185843749416,0.00932388222464553,0.07204494121735094
2002-08-31,0.007689121783444053,0.01706621108304085,0.074088291746641
2002-09-30,0.007558970693352318,0.01989761771249743,0.07523170220069408
2002-10-31,0.004256602167320045,0.01962796895539598,0.05736587552053174
