Date,DXY Curncy,DXY_return,DXY_mom_63,DXY_vol_21,DXY_SPX_corr
1999-12-31,101.87,,,,
2000-01-03,100.22,-0.016329721070396416,,,
2000-01-04,100.41,0.0018940343597662346,,,
2000-01-05,100.38,-0.0002988196645573615,,,
2000-01-06,100.48,0.00099571849310092,,,
2000-01-07,100.72,0.0023856870162031526,,,
2000-01-10,100.99,0.0026771123023737443,,,
2000-01-11,100.56,-0.004266937756473493,,,
2000-01-12,100.62,0.0005964807811804857,,,
2000-01-13,101.0,0.0037694717780869793,,,
2000-01-14,101.72,0.007103423712659442,,,
2000-01-18,101.86,0.0013753809025397307,,,
2000-01-19,101.76,-0.0009822218646464704,,,
2000-01-20,101.36,-0.003938563578928485,,,
2000-01-21,101.81,0.004429795106220737,,,
2000-01-24,102.2,0.0038233466504996477,,,
2000-01-25,102.41,0.00205268631774204,,,
2000-01-26,102.44,0.00029289724397824665,,,
2000-01-27,103.17,0.007100851780960026,,,
2000-01-28,104.48,0.012617552415836524,,,
2000-01-31,105.13,0.006202014059618624,,,
2000-02-01,104.92,-0.00199952458906652,,0.005634585076070091,
2000-02-02,104.79,-0.001239807511822624,,0.0039787483404713515,
2000-02-03,103.8,-0.009492376755062136,,0.004718621144708053,
2000-02-04,104.29,0.004709509401333419,,0.004745342996041148,
2000-02-07,104.64,0.003350407575766945,,0.0047527148372631675,
2000-02-08,104.22,-0.004021838227819994,,0.00492468435640284,
2000-02-09,103.5,-0.006932436775644791,,0.005257411521606977,
2000-02-10,104.13,0.006068505836380879,,0.005206608444939941,
2000-02-11,104.1,-0.00028814292088135595,,0.005219216923611418,
2000-02-14,104.72,0.005938145980721247,,0.005284934440896997,
2000-02-15,104.69,-0.00028651927038091953,,0.005153105304454012,
2000-02-16,104.28,-0.003924013265962596,,0.005281022610049826,
2000-02-17,104.27,-9.590026379923766e-05,,0.00526692044182651,
2000-02-18,104.63,0.003446628591454108,,0.005154806061003365,
2000-02-22,103.28,-0.012986570854568774,,0.005994542935463578,
2000-02-23,103.53,0.002417679239634746,,0.005965497167850268,
2000-02-24,104.01,0.004625622587019988,,0.006022634094646681,
2000-02-25,105.26,0.011946431560591036,,0.006497696335075001,
2000-02-28,105.27,9.499833760049201e-05,,0.0063630579487923755,
