,Days,% Time,Regime Ret,Bmark Ret,Alpha,Regime Sharpe,Bmark Sharpe,Δ Sharpe,Sortino,MaxDD
Bull,1417,80.5%,10.73%,8.29%,+2.44%,0.746,0.678,0.068,0.697,-28.1%
Transition,343,19.5%,12.53%,8.73%,+3.80%,1.007,0.907,0.1,0.976,-13.1%
