,Days,% Time,Regime Ret,Bmark Ret,Alpha,Regime Sharpe,Bmark Sharpe,Δ Sharpe,Sortino,MaxDD
Bull,988,56.1%,15.72%,8.20%,+7.52%,1.328,1.0,0.328,1.242,-10.1%
Transition,467,26.5%,8.50%,4.48%,+4.02%,0.704,0.42,0.284,0.663,-17.5%
Bear,305,17.3%,13.15%,15.24%,-2.09%,0.91,0.777,0.132,0.844,-12.9%
