,Days,% Time,Regime Ret,Bmark Ret,Alpha,Regime Sharpe,Bmark Sharpe,Δ Sharpe,Sortino,MaxDD
Bull,310,17.6%,22.86%,13.83%,+9.03%,1.385,1.429,-0.044,1.33,-12.1%
Transition,1342,76.2%,10.93%,5.03%,+5.90%,0.95,0.499,0.451,0.915,-25.4%
Bear,108,6.1%,25.20%,39.03%,-13.83%,1.409,1.342,0.067,1.18,-10.9%
