,Static BM,MV No-Regime,ML,Jump,HMM,HSMM
2019,2.58,2.56,2.45,2.92,2.51,2.56
2020,0.78,1.43,1.22,1.73,1.5,1.18
2021,1.3,0.58,1.59,1.3,1.21,0.83
2022,-1.15,-1.4,-1.5,-1.63,-1.22,-1.14
2023,1.41,1.29,1.86,1.56,1.27,1.29
2024,1.16,1.54,1.75,1.78,1.72,1.26
2025,1.07,2.03,1.26,1.87,1.83,1.39
